Group,District,DistName,County,CntyName,Region,RegnName,Math,Reading,Writing,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,Year,ERW,TSI_Both_Mskd,Above_TSI_Both_Rate
Not Bil/ESL,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,427.0,431.0,414.0,858.0,<50,<50,91.4,<25,,2015,,,
Missing Bil/ESL,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
CTE,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not CTE,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,404.0,412.0,389.0,815.0,<50,<50,89.8,<25,,2015,,,
Missing CTE,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Gifted,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Gifted,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,404.0,412.0,389.0,815.0,<50,<50,89.8,<25,,2015,,,
Missing Gifted,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Special Ed,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,33.3,<25,,2015,,,
Not Special Ed,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,407.0,412.0,390.0,818.0,<50,<50,93.5,<25,,2015,,,
Missing Special Ed,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Title1,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,404.0,412.0,389.0,815.0,<50,<50,89.8,<25,,2015,,,
Not Title1,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Missing Title1,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
At Risk,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,359.0,378.0,350.0,736.0,<50,<50,84.8,<25,,2015,,,
Not At Risk,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,482.0,471.0,456.0,953.0,<25,<25,100.0,<25,,2015,,,
Missing At Risk,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
LEP/ELL,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,343.0,359.0,322.0,702.0,<25,<25,85.7,<25,,2015,,,
Not LEP/ELL,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,427.0,431.0,414.0,858.0,<50,<50,91.4,<25,,2015,,,
Missing LEP/ELL,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Immigrant,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Immigrant,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,404.0,412.0,389.0,815.0,<50,<50,89.8,<25,,2015,,,
Missing Immigrant,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Migrant,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Migrant,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,404.0,412.0,389.0,815.0,<50,<50,89.8,<25,,2015,,,
Missing Migrant,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
All Students,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,613.0,585.0,587.0,1198.0,"=""112""","=""104""",92.9,"=""71""",68.3,2015,,,
African American,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,560.0,550.0,600.0,1110.0,<25,<25,50.0,<25,50.0,2015,,,
American Indian,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Asian,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,644.0,592.0,607.0,1236.0,"=""58""","=""55""",94.8,"=""42""",76.4,2015,,,
Hispanic,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,548.0,562.0,537.0,1110.0,"=""24""","=""23""",95.8,"=""12""",52.2,2015,,,
Pacific Islander,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
White,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,612.0,604.0,593.0,1215.0,"=""24""","=""22""",91.7,"=""15""",68.2,2015,,,
Multiracial,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,565.0,495.0,500.0,1060.0,<25,<25,100.0,<25,50.0,2015,,,
Missing Ethnicity,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Economically Disadvantaged,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,573.0,550.0,538.0,1123.0,"=""15""","=""13""",86.7,"=""6""",46.2,2015,,,
Not Economically Disadvantaged,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,619.0,590.0,594.0,1209.0,"=""97""","=""91""",93.8,"=""65""",71.4,2015,,,
Missing Econ,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Female,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,579.0,569.0,572.0,1148.0,"=""62""","=""58""",93.5,"=""32""",55.2,2015,,,
Male,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,655.0,606.0,605.0,1261.0,"=""50""","=""46""",92.0,"=""39""",84.8,2015,,,
Missing Gender,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Bil/ESL,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,420.0,370.0,380.0,790.0,<25,<25,100.0,<25,,2015,,,
Not Bil/ESL,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,617.0,590.0,591.0,1206.0,<125,<125,92.7,<75,69.6,2015,,,
Missing Bil/ESL,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
CTE,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,621.0,576.0,573.0,1197.0,"=""43""","=""37""",86.0,"=""24""",64.9,2015,,,
Not CTE,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,609.0,590.0,594.0,1199.0,"=""69""","=""67""",97.1,"=""47""",70.1,2015,,,
Missing CTE,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Gifted,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Gifted,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,613.0,585.0,587.0,1198.0,<125,<125,92.9,<75,68.3,2015,,,
Missing Gifted,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Special Ed,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,25.0,<25,100.0,2015,,,
Not Special Ed,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,613.0,585.0,585.0,1198.0,"=""108""","=""103""",95.4,"=""70""",68.0,2015,,,
Missing Special Ed,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Title1,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Title1,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,613.0,585.0,587.0,1198.0,<125,<125,92.9,<75,68.3,2015,,,
Missing Title1,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
At Risk,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,490.0,467.0,450.0,957.0,<25,<25,66.7,<25,16.7,2015,,,
Not At Risk,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,620.0,593.0,595.0,1213.0,"=""103""","=""98""",95.1,"=""70""",71.4,2015,,,
Missing At Risk,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
LEP/ELL,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,420.0,370.0,380.0,790.0,<25,<25,100.0,<25,,2015,,,
Not LEP/ELL,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,617.0,590.0,591.0,1206.0,<125,<125,92.7,<75,69.6,2015,,,
Missing LEP/ELL,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Immigrant,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,500.0,450.0,415.0,950.0,<25,<25,66.7,<25,50.0,2015,,,
Not Immigrant,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,615.0,588.0,590.0,1203.0,"=""109""","=""102""",93.6,"=""70""",68.6,2015,,,
Missing Immigrant,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Migrant,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Migrant,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,613.0,585.0,587.0,1198.0,<125,<125,92.9,<75,68.3,2015,,,
Missing Migrant,"=""057803""",Uplift Education - North Hills Pre,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
All Students,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,371.0,370.0,353.0,741.0,<1700,<75,3.6,<25,1.6,2015,,,
African American,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,363.0,370.0,351.0,733.0,<500,<25,4.6,<25,,2015,,,
American Indian,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Asian,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Hispanic,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,376.0,363.0,352.0,739.0,<1125,<50,3.0,<25,2.9,2015,,,
Pacific Islander,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
White,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,383.0,418.0,370.0,800.0,<75,<25,6.8,<25,,2015,,,
Multiracial,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Missing Ethnicity,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Economically Disadvantaged,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,374.0,374.0,355.0,748.0,<1550,<75,3.6,<25,1.8,2015,,,
Not Economically Disadvantaged,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,347.0,328.0,333.0,675.0,<175,<25,3.9,<25,,2015,,,
Missing Econ,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
Female,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,361.0,357.0,355.0,718.0,<900,<50,4.8,<25,,2015,,,
Male,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,395.0,396.0,347.0,792.0,<825,<25,2.3,<25,5.3,2015,,,
Missing Gender,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Bil/ESL,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,382.0,347.0,318.0,728.0,<175,<25,3.6,<25,,2015,,,
Not Bil/ESL,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,370.0,372.0,357.0,742.0,<1550,<75,3.6,<25,1.8,2015,,,
Missing Bil/ESL,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
CTE,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not CTE,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,371.0,370.0,353.0,741.0,<1700,<75,3.6,<25,1.6,2015,,,
Missing CTE,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
Gifted,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Gifted,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,371.0,370.0,353.0,741.0,<1700,<75,3.6,<25,1.6,2015,,,
Missing Gifted,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
Special Ed,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,290.0,320.0,294.0,610.0,<225,<25,2.5,<25,,2015,,,
Not Special Ed,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,379.0,374.0,358.0,753.0,<1500,<75,3.7,<25,1.8,2015,,,
Missing Special Ed,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
Title1,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,371.0,370.0,353.0,741.0,<1700,<75,3.6,<25,1.6,2015,,,
Not Title1,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Missing Title1,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
At Risk,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,359.0,357.0,344.0,716.0,<1150,<50,4.4,<25,,2015,,,
Not At Risk,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,418.0,430.0,391.0,848.0,<575,<25,1.4,<25,12.5,2015,,,
Missing At Risk,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,433.0,400.0,388.0,833.0,"=""2""","=""4""",,"=""0""",,2015,,,
LEP/ELL,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,382.0,347.0,318.0,728.0,<225,<25,2.7,<25,,2015,,,
Not LEP/ELL,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,370.0,372.0,357.0,742.0,<1475,<75,3.7,<25,1.8,2015,,,
Missing LEP/ELL,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
Immigrant,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Immigrant,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,367.0,367.0,350.0,735.0,<1700,<75,3.4,<25,1.8,2015,,,
Missing Immigrant,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,433.0,400.0,388.0,833.0,"=""2""","=""4""",,"=""0""",,2015,,,
Migrant,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Migrant,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,371.0,370.0,353.0,741.0,<1700,<75,3.6,<25,1.6,2015,,,
Missing Migrant,"=""057804""",Texans Can Academies,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
All Students,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,419.0,399.0,399.0,818.0,<50,<25,44.7,<25,,2015,,,
African American,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,420.0,408.0,375.0,828.0,<25,<25,80.0,<25,,2015,,,
American Indian,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Asian,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Hispanic,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,423.0,386.0,394.0,809.0,<50,<25,36.0,<25,,2015,,,
Pacific Islander,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
White,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,453.0,453.0,463.0,907.0,<25,<25,42.9,<25,,2015,,,
Multiracial,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,100.0,<25,,2015,,,
Missing Ethnicity,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Economically Disadvantaged,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,403.0,364.0,377.0,767.0,<25,<25,36.8,<25,,2015,,,
Not Economically Disadvantaged,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,431.0,423.0,414.0,854.0,<25,<25,52.6,<25,,2015,,,
Missing Econ,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Female,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,431.0,418.0,423.0,849.0,<25,<25,47.8,<25,,2015,,,
Male,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,398.0,363.0,355.0,762.0,<25,<25,40.0,<25,,2015,,,
Missing Gender,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Bil/ESL,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Bil/ESL,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,419.0,399.0,399.0,818.0,<50,<25,45.9,<25,,2015,,,
Missing Bil/ESL,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
CTE,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,419.0,399.0,399.0,818.0,<50,<25,44.7,<25,,2015,,,
Not CTE,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Missing CTE,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Gifted,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Gifted,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,419.0,399.0,399.0,818.0,<50,<25,44.7,<25,,2015,,,
Missing Gifted,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Special Ed,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Special Ed,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,419.0,399.0,399.0,818.0,<50,<25,51.5,<25,,2015,,,
Missing Special Ed,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Title1,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,419.0,399.0,399.0,818.0,<50,<25,44.7,<25,,2015,,,
Not Title1,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Missing Title1,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
At Risk,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,383.0,370.0,364.0,753.0,<25,<25,40.0,<25,,2015,,,
Not At Risk,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,452.0,424.0,430.0,877.0,<25,<25,50.0,<25,,2015,,,
Missing At Risk,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
LEP/ELL,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,50.0,<25,,2015,,,
Not LEP/ELL,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,424.0,399.0,396.0,823.0,<50,<25,44.4,<25,,2015,,,
Missing LEP/ELL,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Immigrant,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,100.0,<25,,2015,,,
Not Immigrant,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,423.0,403.0,404.0,826.0,<50,<25,43.2,<25,,2015,,,
Missing Immigrant,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Migrant,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Migrant,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,419.0,399.0,399.0,818.0,<50,<25,44.7,<25,,2015,,,
Missing Migrant,"=""057806""",Advantage Academy,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
All Students,"=""057807""",Life School,"=""057""",Dallas County,"=""10""",Richardson,438.0,438.0,416.0,875.0,<175,<125,71.1,<25,7.4,2015,,,
