Region,County,District,District Name, Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay,Year
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,ELEMENTARY (GRADES 1-6),6.60,290611,44032,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,ALL GRADE LEVELS,0.55,11328,20596,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 1,0.42,16487,39292,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 2,0.16,6071,37383,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 3,0.08,2600,33898,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,TOTAL TEACHING STAFF,14.44,578114,40039,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,COUNSELOR,0.50,33190,66380,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,OTHER CAMP PROF PERSONNEL,0.50,21168,42336,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,OTHR NON-INSTR DISTRICT,6.92,286857,41453,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,TEACHER FACILITATOR,1.47,68201,46351,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,TOTAL SUPPORT STAFF,9.39,409416,43595,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,ASSISTANT PRINCIPAL,0.50,33190,66380,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,BUSINESS MANAGER,0.38,31026,81647,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,PRINCIPAL,2.00,140560,70280,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,SUPERINTENDENT/CAO/CEO/PRESDNT,0.38,36868,97021,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,TOTAL ADMINISTRATIVE STAFF,3.26,241644,74124,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER, ,TOTAL PROFESSIONAL STAFF,27.09,1229174,45374,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,PARAPROFESSIONAL STAFF,EDUCATIONAL AIDE,9.21,192056,20853,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,PARAPROFESSIONAL STAFF,TOTAL PARAPROFESSIONAL STAFF,9.21,192056,20853,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,AUXILIARY,AUXILIARY,1.38,77701,56305,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER, ,TOTAL PERSONNEL,37.68,1498931,39780,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,PRE-KINDERGARTEN,2.51,103220,41068,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,KINDERGARTEN,7.73,314595,40702,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,ELEMENTARY (GRADES 1-6),4.08,148887,36451,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,MIDDLE SCHOOL (GRADES 6 - 8),3.36,132707,39526,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,ALL GRADE LEVELS,9.02,399339,44253,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 1,7.14,289340,40514,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 2,8.21,347200,42300,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 3,10.27,423660,41265,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 4,8.46,360955,42673,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 5,7.59,329835,43458,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 6,5.92,255765,43180,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 7,5.12,236323,46192,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 8,3.75,171565,45710,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADES 9-12,25.93,1156966,44614,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,TEACHING STAFF,TOTAL TEACHING STAFF,109.10,4670357,42809,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,COUNSELOR,1.00,64000,64000,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,DEPARTMENT HEAD,3.00,224500,74833,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,OTHER CAMP PROF PERSONNEL,33.93,1472766,43405,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,OTHR NON-INSTR DISTRICT,3.00,59500,19833,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,SCHOOL NURSE,3.37,86053,25502,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,TEACHER FACILITATOR,2.03,96918,47708,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,TOTAL SUPPORT STAFF,46.34,2003737,43243,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,ASSISTANT PRINCIPAL,3.03,175187,57825,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,ASST/ASSOC/DEPUTY SUPERINTEND.,3.00,138400,46133,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,BUSINESS MANAGER,1.00,82000,82000,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,DIR -PERSONNEL/HUMAN RESOURCES,1.00,62000,62000,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,DIST INSTR PGM DIR OR EXC DIR,1.00,78000,78000,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,PRINCIPAL,2.00,129000,64500,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,REGISTRAR,6.97,225451,32331,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,140000,140000,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,TOTAL ADMINISTRATIVE STAFF,19.00,1030038,54204,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER, ,TOTAL PROFESSIONAL STAFF,174.44,7704132,44165,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,PARAPROFESSIONAL STAFF,EDUCATIONAL AIDE,15.29,478066,31258,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,PARAPROFESSIONAL STAFF,TOTAL PARAPROFESSIONAL STAFF,15.29,478066,31258,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,AUXILIARY,AUXILIARY,17.95,344344,19187,2015-2016
10,DALLAS COUNTY,57806.0,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER, ,TOTAL PERSONNEL,207.68,8526542,41056,2015-2016
